peak_time,peak_ts_iso,peak_value,threshold
1783053530.8499277,2026-07-03T13:38:50.849,0.059366730191766304,0.02
1783053532.0178614,2026-07-03T13:38:52.017,0.022253136623389867,0.02
1783053532.9193497,2026-07-03T13:38:52.919,0.10896482002282036,0.02
1783053533.6681373,2026-07-03T13:38:53.668,0.7519220730712782,0.02
1783053535.6784105,2026-07-03T13:38:55.678,1.807440056455739,0.02
1783053536.7889354,2026-07-03T13:38:56.788,1.6844012103924302,0.02
1783053537.0902708,2026-07-03T13:38:57.090,0.18401427739642864,0.02
1783053538.592661,2026-07-03T13:38:58.592,0.44960490862735447,0.24910348580456182
1783053538.951211,2026-07-03T13:38:58.951,0.49628497494698703,0.2952758895443245
1783053539.2827766,2026-07-03T13:38:59.282,6.534314970262952,0.3817062894205342
1783053539.5491948,2026-07-03T13:38:59.549,2.960067533148575,0.44140155710282647
1783053542.0986784,2026-07-03T13:39:02.098,4.76140294544077,0.15669628556135912
