time,ts_iso,ax,ay,az,wx,wy,wz,roll,pitch,yaw,acc_mag,gyro_mag,baseline_acc,vib,envelope,threshold,enhanced,is_above,is_peak_confirmed
1783053529.771466,2026-07-03T13:38:49.771,0.005859375,0.0341796875,1.04345703125,0.0,0.0,0.0,2.0489501953125,-0.3076171875,-102.89794921875,1.0440331217820877,0.0,1.0440331217820877,0.0,0.0,0.02,0.0,0,0
1783053529.771466,2026-07-03T13:38:49.771,0.00244140625,0.03466796875,1.04443359375,0.0,0.0,0.0,2.0489501953125,-0.3076171875,-102.9034423828125,1.0450116555690987,0.0,1.0450116555690987,0.0,0.0,0.02,0.0,0,0
1783053529.771466,2026-07-03T13:38:49.771,0.00390625,0.03369140625,1.04248046875,0.0,0.0,0.0,2.0489501953125,-0.3076171875,-102.908935546875,1.043032069195087,0.0,1.043032069195087,0.0,0.0,0.02,0.0,0,0
1783053529.771466,2026-07-03T13:38:49.771,0.0048828125,0.0322265625,1.041015625,0.0,0.0,0.0,2.0489501953125,-0.3076171875,-102.9144287109375,1.041525767651774,0.0,1.041525767651774,0.0,0.0,0.02,0.0,0,0
1783053529.771466,2026-07-03T13:38:49.771,0.005859375,0.03564453125,1.04296875,0.0,0.0,0.0,2.0489501953125,-0.3076171875,-102.919921875,1.0435941157174016,0.0,1.0435941157174016,0.0,0.0,0.02,0.0,0,0
1783053529.771466,2026-07-03T13:38:49.771,0.00390625,0.033203125,1.041015625,0.0,0.0,0.0,2.0489501953125,-0.3076171875,-102.919921875,1.0415523211980129,0.0,1.0415523211980129,0.0,0.0,0.02,0.0,0,0
1783053529.771466,2026-07-03T13:38:49.771,0.00390625,0.0361328125,1.04150390625,0.0,0.0,0.0,2.0489501953125,-0.3076171875,-102.9254150390625,1.0421378151003982,0.0,1.0421378151003982,0.0,0.0,0.02,0.0,0,0
1783053529.771466,2026-07-03T13:38:49.771,0.00341796875,0.0341796875,1.04345703125,0.0,0.0,0.0,2.0489501953125,-0.3076171875,-102.930908203125,1.0440222744812666,0.0,1.0440222744812666,0.0,0.0,0.02,0.0,0,0
1783053529.801535,2026-07-03T13:38:49.801,0.0048828125,0.03173828125,1.04248046875,0.0,0.0,0.0,2.04345703125,-0.3076171875,-102.930908203125,1.0429749220761897,0.0,1.0429749220761897,0.0,0.0,0.02,0.0,0,0
1783053529.801535,2026-07-03T13:38:49.801,0.0048828125,0.033203125,1.04296875,0.0,0.0,0.0,2.04345703125,-0.3076171875,-102.9364013671875,1.0435085542745868,0.0,1.0435085542745868,0.0,0.0,0.02,0.0,0,0
1783053529.801535,2026-07-03T13:38:49.801,0.00341796875,0.03271484375,1.04443359375,0.0,0.0,0.0,2.04345703125,-0.3076171875,-102.94189453125,1.0449514224429302,0.0,1.0432703117348368,0.001681110708093403,0.0003362221416186806,0.02,0.0003362221416186806,0,0
1783053529.801535,2026-07-03T13:38:49.801,0.0048828125,0.03369140625,1.04150390625,0.0,0.0,0.0,2.04345703125,-0.3076171875,-102.94189453125,1.0420601419529592,0.0,1.0435085542745868,0.0014484123216276235,0.0005586601776204692,0.02,0.0005586601776204692,0,0
1783053529.801535,2026-07-03T13:38:49.801,0.0068359375,0.03515625,1.044921875,0.0,0.0,0.0,2.04345703125,-0.3076171875,-102.9473876953125,1.0455354689388028,0.0,1.0432703117348368,0.0022651572039660284,0.0008999595828895811,0.02,0.0008999595828895811,0,0
1783053529.801535,2026-07-03T13:38:49.801,0.00390625,0.0322265625,1.04296875,0.0,0.0,0.0,2.04345703125,-0.3076171875,-102.952880859375,1.043473825065196,0.0,1.0435085542745868,3.472920939073809e-05,0.0007269135081898125,0.02,0.0007269135081898125,0,0
1783053529.8025322,2026-07-03T13:38:49.802,0.00390625,0.033203125,1.04296875,0.0,0.0,0.0,2.04345703125,-0.3076171875,-102.952880859375,1.0435044416653867,0.0,1.0434911896698913,1.3251995495400237e-05,0.0005841812056509301,0.02,0.0005841812056509301,0,0
1783053529.8025322,2026-07-03T13:38:49.802,0.00439453125,0.03369140625,1.04443359375,0.0,0.0,0.0,2.04345703125,-0.3076171875,-102.9583740234375,1.044986102545651,0.0,1.0435044416653867,0.0014816608802643572,0.0007636771405736156,0.02,0.0007636771405736156,0,0
1783053529.8439343,2026-07-03T13:38:49.843,0.00439453125,0.0341796875,1.04345703125,0.0,0.0,0.0,2.04345703125,-0.3076171875,-102.9638671875,1.0440259283214992,0.0,1.0435064979699868,0.0005194303515123622,0.000714827782761365,0.02,0.000714827782761365,0,0
