time,ts_iso,ax,ay,az,wx,wy,wz,roll,pitch,yaw,acc_mag,gyro_mag
1779349532.081164,2026-05-21T16:45:32.081,-0.00439453125,0.03515625,1.04296875,0.0,0.0,0.0,1.4666748046875,-0.0933837890625,67.1649169921875,1.04357035569986,0.0
1779349532.081164,2026-05-21T16:45:32.081,-0.0029296875,0.03564453125,1.0419921875,0.0,0.0,0.0,1.4666748046875,-0.0933837890625,67.1649169921875,1.042605790549772,0.0
1779349532.081164,2026-05-21T16:45:32.081,-0.00390625,0.03466796875,1.04541015625,0.0,0.0,0.0,1.4666748046875,-0.0933837890625,67.1649169921875,1.0459921231237657,0.0
1779349532.081164,2026-05-21T16:45:32.081,-0.00341796875,0.03173828125,1.0439453125,0.0,0.0,0.0,1.47216796875,-0.0933837890625,67.1649169921875,1.0444332513367252,0.0
1779349532.081164,2026-05-21T16:45:32.081,-0.0029296875,0.0341796875,1.04345703125,0.0,0.0,0.0,1.47216796875,-0.0933837890625,67.1649169921875,1.0440207901050194,0.0
1779349532.081164,2026-05-21T16:45:32.081,-0.00341796875,0.03369140625,1.0439453125,0.0,0.0,0.0,1.47216796875,-0.087890625,67.1649169921875,1.0444944273935601,0.0
1779349532.081164,2026-05-21T16:45:32.081,-0.0048828125,0.03564453125,1.0439453125,0.0,0.0,0.0,1.47216796875,-0.087890625,67.1649169921875,1.0445650721504454,0.0
1779349532.081164,2026-05-21T16:45:32.081,-0.00390625,0.03271484375,1.04736328125,0.0,0.0,0.0,1.4776611328125,-0.087890625,67.1649169921875,1.0478813686202346,0.0
1779349532.1091607,2026-05-21T16:45:32.109,-0.00390625,0.0322265625,1.0439453125,0.0,0.0,0.0,1.4776611328125,-0.087890625,67.1649169921875,1.0444499153192324,0.0
1779349532.1091607,2026-05-21T16:45:32.109,-0.0048828125,0.03466796875,1.0419921875,0.0,0.0,0.0,1.4776611328125,-0.087890625,67.1649169921875,1.0425801785599975,0.0
1779349532.1091607,2026-05-21T16:45:32.109,-0.00341796875,0.03369140625,1.0439453125,0.0,0.0,0.0,1.4776611328125,-0.087890625,67.1649169921875,1.0444944273935601,0.0
1779349532.1091607,2026-05-21T16:45:32.109,-0.00390625,0.033203125,1.0439453125,0.0,0.0,0.0,1.4776611328125,-0.0823974609375,67.1649169921875,1.0444805033075297,0.0
1779349532.1091607,2026-05-21T16:45:32.109,-0.0048828125,0.033203125,1.04443359375,0.0,0.0,0.0,1.483154296875,-0.0823974609375,67.1649169921875,1.0449726413266598,0.0
1779349532.1091607,2026-05-21T16:45:32.109,-0.0048828125,0.03515625,1.04345703125,0.0,0.0,0.0,1.483154296875,-0.0823974609375,67.1649169921875,1.044060524987434,0.0
1779349532.1091607,2026-05-21T16:45:32.109,-0.0029296875,0.03515625,1.0439453125,0.0,0.0,0.0,1.483154296875,-0.0823974609375,67.1649169921875,1.0445412200931243,0.0
