time,ts_iso,ax,ay,az,wx,wy,wz,roll,pitch,yaw,acc_mag,gyro_mag,baseline_acc,vib,envelope,noise_level,score,score_threshold,is_above,is_peak
1783054863.1136584,2026-07-03T14:01:03.113,-0.0107421875,0.00146484375,1.03759765625,0.0,0.0,0.0,0.274658203125,0.615234375,-30.355224609375,1.0376542953291286,0.0,1.0376542953291286,0.0,0.0,0.003,0.0,4.0,0,0
1783054863.1136584,2026-07-03T14:01:03.113,-0.01318359375,0.00341796875,1.046875,0.0,0.0,0.0,0.274658203125,0.615234375,-30.355224609375,1.046963588325564,0.0,1.046963588325564,0.0,0.0,0.003,0.0,4.0,0,0
1783054863.1136584,2026-07-03T14:01:03.113,-0.009765625,0.00146484375,1.04150390625,0.0,0.0,0.0,0.274658203125,0.615234375,-30.355224609375,1.0415507188480364,0.0,1.0415507188480364,0.0,0.0,0.003,0.0,4.0,0,0
1783054863.1136584,2026-07-03T14:01:03.113,-0.0107421875,0.00390625,1.04248046875,0.0,0.0,0.0,0.274658203125,0.615234375,-30.355224609375,1.042543131532968,0.0,1.042543131532968,0.0,0.0,0.003,0.0,4.0,0,0
1783054863.1136584,2026-07-03T14:01:03.113,-0.00927734375,0.0048828125,1.04931640625,0.0,0.0,0.0,0.274658203125,0.615234375,-30.355224609375,1.049368777594598,0.0,1.049368777594598,0.0,0.0,0.003,0.0,4.0,0,0
1783054863.1136584,2026-07-03T14:01:03.113,-0.0078125,0.00244140625,1.037109375,0.0,0.0,0.0,0.274658203125,0.615234375,-30.355224609375,1.0371416737040404,0.0,1.0371416737040404,0.0,0.0,0.003,0.0,4.0,0,0
1783054863.1136584,2026-07-03T14:01:03.113,-0.00830078125,0.00341796875,1.03955078125,0.0,0.0,0.0,0.274658203125,0.615234375,-30.355224609375,1.039589540288484,0.0,1.039589540288484,0.0,0.0,0.003,0.0,4.0,0,0
1783054863.1136584,2026-07-03T14:01:03.113,-0.00830078125,0.00390625,1.04638671875,0.0,0.0,0.0,0.2691650390625,0.615234375,-30.355224609375,1.0464269333951675,0.0,1.0464269333951675,0.0,0.0,0.003,0.0,4.0,0,0
1783054863.1748006,2026-07-03T14:01:03.174,-0.01025390625,0.00439453125,1.03955078125,0.0,0.0,0.0,0.2691650390625,0.615234375,-30.355224609375,1.039610639275963,0.0,1.039610639275963,0.0,0.0,0.003,0.0,4.0,0,0
1783054863.1748006,2026-07-03T14:01:03.174,-0.00927734375,0.00146484375,1.0390625,0.0,0.0,0.0,0.2691650390625,0.615234375,-30.355224609375,1.039104948395742,0.0,1.039104948395742,0.0,0.0,0.003,0.0,4.0,0,0
1783054863.1748006,2026-07-03T14:01:03.174,-0.0107421875,0.00390625,1.05078125,0.0,0.0,0.0,0.2691650390625,0.615234375,-30.355224609375,1.0508434177996788,0.0,1.0405806790619998,0.010262738737679022,0.0025656846844197556,0.003,0.8552282281399185,4.0,0,0
1783054863.1748006,2026-07-03T14:01:03.174,-0.009765625,0.001953125,1.04052734375,0.0,0.0,0.0,0.2691650390625,0.615234375,-30.355224609375,1.0405750022080757,0.0,1.0415507188480364,0.0009757166399606554,0.0021681926733049806,0.003,0.7227308911016602,4.0,0,0
1783054863.1748006,2026-07-03T14:01:03.174,-0.00927734375,0.00390625,1.04296875,0.0,0.0,0.0,0.2691650390625,0.6097412109375,-30.355224609375,1.0430173255381143,0.0,1.041062860528056,0.0019544650100582484,0.0021147607574932975,0.003,0.7049202524977658,4.0,0,0
1783054863.1748006,2026-07-03T14:01:03.174,-0.01123046875,0.00537109375,1.0517578125,0.0,0.0,0.0,0.2691650390625,0.6097412109375,-30.355224609375,1.0518314828104363,0.0,1.0415507188480364,0.010280763962399853,0.004156261558719936,0.003,1.385420519573312,4.0,0,0
1783054863.1748006,2026-07-03T14:01:03.174,-0.01171875,0.001953125,1.03955078125,0.0,0.0,0.0,0.2691650390625,0.6097412109375,-30.355224609375,1.0396186659522393,0.0,1.0420469251905022,0.002428259238262953,0.0037242609786056905,0.003,1.2414203262018968,4.0,0,0
1783054863.1748006,2026-07-03T14:01:03.174,-0.00927734375,0.00244140625,1.041015625,0.0,0.0,0.0,0.2691650390625,0.6097412109375,-30.355224609375,1.0410598258821027,0.0,1.0415507188480364,0.0004908929659337424,0.0029159189754377037,0.003,0.9719729918125679,4.0,0,0
1783054863.2036467,2026-07-03T14:01:03.203,-0.0087890625,0.005859375,1.04443359375,0.0,0.0,0.0,0.2691650390625,0.6097412109375,-30.355224609375,1.0444870088462372,0.0,1.0413052723650695,0.0031817364811677074,0.002982373351870205,0.003,0.9941244506234016,4.0,0,0
1783054863.2036467,2026-07-03T14:01:03.203,-0.00927734375,0.00537109375,1.03759765625,0.0,0.0,0.0,0.2691650390625,0.6097412109375,-30.355224609375,1.0376530316105765,0.0,1.0415507188480364,0.003897687237459868,0.0032112018232676206,0.003,1.0704006077558734,4.0,0,0
1783054863.2036467,2026-07-03T14:01:03.203,-0.00830078125,0.005859375,1.03955078125,0.0,0.0,0.0,0.2691650390625,0.6097412109375,-30.355224609375,1.0396004338409235,0.0,1.0413052723650695,0.0017048385241460462,0.002834610998487227,0.003,0.9448703328290756,4.0,0,0
1783054863.2036467,2026-07-03T14:01:03.203,-0.0087890625,0.00390625,1.04736328125,0.0,0.0,0.0,0.2691650390625,0.6097412109375,-30.355224609375,1.0474074418866128,0.0,1.0410598258821027,0.00634761600451017,0.003712862249992963,0.003,1.2376207499976544,4.0,0,0
1783054863.2036467,2026-07-03T14:01:03.203,-0.01025390625,0.00341796875,1.04345703125,0.0,0.0,0.0,0.2691650390625,0.6097412109375,-30.355224609375,1.0435130095829295,0.0,1.0413052723650695,0.0022077372178599397,0.003336580991959707,0.003,1.112193663986569,4.0,0,0
1783054863.2036467,2026-07-03T14:01:03.203,-0.01025390625,0.00390625,1.0390625,0.0,0.0,0.0,0.2691650390625,0.6097412109375,-30.355224609375,1.0391204358921522,0.0,1.0415507188480364,0.002430282955884211,0.003110006482940833,0.005141489845391912,0.6048842993880836,4.0,0,0
1783054863.2036467,2026-07-03T14:01:03.203,-0.01220703125,0.00537109375,1.0478515625,0.0,0.0,0.0,0.2691650390625,0.6097412109375,-30.355224609375,1.0479364280783932,0.0,1.0413052723650695,0.006631155713323622,0.00399029379053653,0.004808354694067863,0.8298667724033365,4.0,0,0
1783054863.2036467,2026-07-03T14:01:03.203,-0.0107421875,0.00244140625,1.04248046875,0.0,0.0,0.0,0.2691650390625,0.6097412109375,-30.355224609375,1.0425386720798333,0.0,1.0415507188480364,0.0009879532317969009,0.0032397086508516226,0.004869639789712476,0.6652871240488423,4.0,0,0
1783054863.2306385,2026-07-03T14:01:03.230,-0.01171875,0.0009765625,1.0419921875,0.0,0.0,0.0,0.2691650390625,0.6097412109375,-30.355224609375,1.0420585403838472,0.0,1.0420446954639349,1.3844919912298081e-05,0.0024332427181167912,0.004576514843946149,0.5316802853454096,4.0,0,0
1783054863.2306385,2026-07-03T14:01:03.230,-0.01171875,0.00341796875,1.04638671875,0.0,0.0,0.0,0.2691650390625,0.6097412109375,-30.355224609375,1.0464579192630394,0.0,1.0420585403838472,0.004399378879192284,0.0029247767583856646,0.0043473063911176335,0.6727790717400399,4.0,0,0
1783054863.2306385,2026-07-03T14:01:03.230,-0.009765625,0.0009765625,1.03759765625,0.0,0.0,0.0,0.2691650390625,0.6097412109375,-30.355224609375,1.0376440706530587,0.0,1.0422986062318402,0.004654535578781482,0.0033572164634846193,0.004306898267128113,0.7794975073147591,4.0,0,0
